Index,Manufacturer Part Number,Manufacturer Name,Description,References,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Datasheet,Product Notes
1,22284040,Molex,CONN HEADER VERT 4POS 2.54MM,J4,1,1,Bulk,WM50014-04-ND,0.3,$0.30 ,1,https://www.molex.com/pdm_docs/sd/022284040_sd.pdf,
2,RC0805FR-071KL,YAGEO,RES 1K OHM 1% 1/8W 0805,"R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12",11,11,Cut Tape (CT),311-1.00KCRCT-ND,0.012,$0.13 ,1,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,
3,08055C104J4T2A,KYOCERA AVX,CAP CER 0.1UF 50V X7R 0805,C1-C6,7,7,Cut Tape (CT),478-KAM21BR71H104JTCT-ND,0.18,$1.26 ,1,https://datasheets.kyocera-avx.com/AutoMLCC.pdf,
4,"SC16IS752IPW,112",NXP USA Inc.,IC UART DUAL 12C/SPI 28TSSOP,U2,1,1,Tube,568-4016-5-ND,4.48,$4.48 ,1,https://www.nxp.com/docs/en/data-sheet/SC16IS752_SC16IS762.pdf,
5,SN75160BDW,Texas Instruments,IC TRANSCEIVER HALF 8/8 20SOIC,U3,1,1,Tube,296-6844-5-ND,3.39,$3.39 ,1,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn75160b,
6,CIB24SRA,L-com,CONNECTOR GPIB R/A FEMALE,J5,1,1,Bag,5073-CIB24SRA-ND,17.1,$17.10 ,1,https://www.l-com.com/images/downloadables/2D/CIB24SRA_2D.pdf,
7,PRT-16764,SparkFun Electronics,EXTENDED GPIO FEMALE HEADER - 2X,J1,1,1,Bulk,1568-PRT-16764-ND,2.25,$2.25 ,1,https://cdn.sparkfun.com/assets/0/8/d/b/2/DS-16764-2_X_20_Pin_Extended_GPIO_Header_-_Female_-_13.5mm_9.80mm.pdf,
8,405C35B14M74560,CTS-Frequency Controls,CRYSTAL 14.7456MHZ 13PF SMD,Y1,1,1,Cut Tape (CT),CTX644CT-ND,0.84,$0.84 ,1,https://www.ctscorp.com/Files/DataSheets/Passives/FCP/Crystals/crystals-405-datasheet.pdf,
9,LD09P13A4GX00LF,Amphenol ICC (FCI),CONN D-SUB PLUG 9POS R/A SOLDER,"J2,J3",2,2,Tray,609-5183-ND,1.23,$2.46 ,1,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_dsub_brochure.pdf,
10,CC0805JRNPO9BN360,YAGEO,CAP CER 36PF 50V C0G/NPO 0805,"C7,C8",2,2,Cut Tape (CT),311-4236-1-ND,0.12,$0.24 ,1,https://www.yageo.com/en/Chart/Download/pdf/CC0805JRNPO9BN360,
11,MAX3232CDR,Texas Instruments,IC TRANSCEIVER FULL 2/2 16SOIC,U1,1,1,Cut Tape (CT),296-13094-1-ND,0.98,$0.98 ,1,https://www.ti.com/lit/ds/symlink/max3232.pdf,
12,LTST-C150KRKT,Lite-On Inc.,LED RED CLEAR 1206 SMD,D1,1,1,Cut Tape (CT),160-1405-1-ND,0.18,$0.18 ,1,https://optoelectronics.liteon.com/upload/download/DS-22-99-0149/LTST-C150KRKT.pdf,
13,LTST-C150GKT,Lite-On Inc.,LED GREEN CLEAR 1206 SMD,"D2, D3, D4, D5, D6, D7",6,6,Cut Tape (CT),160-1169-1-ND,0.17,$1.02 ,1,https://optoelectronics.liteon.com/upload/download/DS-22-98-0004/LTST-C150GKT.pdf,
14,RMCF0805FT10K0,Stackpole Electronics Inc,RES 10K OHM 1% 1/8W 0805,"R1,R13,R14",4,4,Cut Tape (CT),RMCF0805FT10K0CT-ND,0.1,$0.40 ,1,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,
15,SN75161BDW,296-6846-5-ND,IC TRANSCEIVER HALF 8/8 20SOIC,U4,1,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,$35.81 ,,,,,,,
